"id";"prec";"hfp";"forest";"area";"bioreg";"Var1";"Var2";"Ss";"Ce";"Cc";"Vv"
"185";504,117647058824;19,4545454545455;0,216871679489415;34,5940180108748;"3";3287,28438280587;1955,54521716329;78;3;16;34
"186";501,630952380952;4,97222222222222;0,334088305340255;31,4845868361894;"3";3257,28935739564;1977,95951985539;47;19;40;33
"187";427,475119748786;8,14705882352941;0,083265373272947;25,9252128833832;"3";3284,16811964115;1902,38585245311;63;3;10;23
"188";531,198660617139;6,0712481962482;0,248235160555667;99,6181122678471;"2";3282,83411211069;1992,68208402013;182;166;74;60
"189";509,4761663286;8,84431818181818;0,406543256459042;60,2970099612409;"2";3262,68368585492;1980,35145357817;104;18;36;16
"190";525,303571428571;2,58333333333333;0,686765711920868;35,7661548946592;"2";3271,5807507995;2062,66925425937;27;20;22;15
"191";538,688861985472;2,33918128654971;0,742577109739491;47,5632390251273;"2";3292,06841857148;2061,2868071489;52;40;33;20
"192";570,078431372549;2,85294117647059;0,562946309152918;32,8194055881022;"2";3334,09871365634;2028,61031025835;51;89;20;25
"193";484,275862068966;11,25;0,237833310736058;19,4467362556593;"2";3249,14715272419;2066,00553922713;19;30;14;18
"194";388,66;12,35;0,030536696095502;19,9881049970579;"3";3217,69024380876;2067,81206762995;8;0;21;24
"195";439,373232323232;4,39189189189189;0,460949069969456;41,3408719613806;"3";3227,85457704614;2002,94678560903;175;0;55;69
"196";442,933080808081;16,1594827586207;0,032613478886837;34,2426608629519;"3";3213,3534562737;2007,80791442934;8;3;23;36
"197";522,892857142857;2,87777777777778;0,42668942399065;23,6294346965837;"2";3227,7086579518;2108,27139381598;73;0;30;30
"198";441,422704081633;7,87139423076923;0,255491702982491;53,8528468402583;"3";3253,49778696862;2018,50163721978;97;8;40;18
"199";451,565217391304;7,5;0,476774259642495;16,3496739694032;"2";3250,05180815857;2103,80211330048;0;0;15;2
"200";525,243844496671;6,66955844155844;0,323948709264861;89,0210302433642;"2";3269,36163411445;2074,88193356115;86;34;62;21
"201";607,88;4,15151515151515;0,397158035574685;32,3137895811476;"2";3325,75808369495;2025,43109621188;70;142;27;15
"202";421,6;12,0625;0,160460333878109;16,1122223556904;"3";3219,15409460404;2050,09210573385;43;0;14;26
"203";472,857142857143;3,72;0,602691190583365;23,465065960428;"2";3318,36443253001;2083,11557113407;44;20;22;25
"204";494,58615819209;5,18392857142857;0,291259554498356;46,1406532523646;"2";3255,43731786933;2072,69909953101;50;18;46;19
"205";458,740740740741;4,55;0,360177331500583;18,7369770259272;"3";3233,88646044526;2027,6496452181;34;0;20;18
"206";473,285714285714;2;0,695845457592181;8,63731488077755;"3";3250,46270143704;2033,11726424791;27;2;18;0
"207";475,125;15,4210526315789;0,279091510572471;20,7354847327932;"2";3246,62629037649;2068,1175814897;33;5;18;20
"208";431,182187950938;11,0356066362715;0,104283593928967;96,4293999429451;"3";3219,02769378994;2005,69646848342;119;3;41;303
"209";452,497150997151;9,28451178451178;0,596275350299254;46,0112015119821;"3";3230,17183053963;2009,35876612639;334;81;31;42
"210";454,714285714286;9,35714285714286;0,725994020700455;13,5242100862882;"3";3241,48052095122;2032,1249646755;39;0;27;13
"211";413,181818181818;38,4444444444444;0,001740348948674;8,93576799663873;"3";3200,6559680359;2041,74816530206;9;0;4;20
"212";580,475862068966;5,2258064516129;0,343633596618496;95,596492512819;"2";3335,41723018179;2021,91631984463;30;160;15;44
"213";437,53125;7,33333333333333;0,188860477135904;20,8358789270901;"2";3241,71335957058;2088,72529935924;70;6;18;29
"214";537,553954324543;5,02445711514339;0,448262909942756;114,536170959978;"2";3283,87445479039;2074,1255793087;125;99;91;50
"215";571,889562289562;5,81547619047619;0,422842709510084;24,2192388719;"2";3298,06418698935;2067,05110223912;65;18;18;20
"216";549,301886792453;1,15789473684211;0,305072798493059;35,8113718038118;"2";3329,15685238458;2036,54735643923;12;74;16;18
"217";426,677419354839;14,9047619047619;0,291594369637389;21,2470287358323;"3";3213,1787605432;2028,50719664907;20;0;10;12
"218";412,028138528139;3,94393939393939;0,582032899424716;36,0498487573271;"2";3214,84693656306;2084,06309581595;91;110;386;26
"219";534;4,95238095238095;0,808796239383135;63,1707499501755;"2";3273,70597379237;2039,54837565931;98;174;57;33
"220";463,229508196721;10;0,198099222450258;39,3605507655735;"2";3242,07490332102;2067,67331284315;43;8;32;25
"221";567,025210084034;0,716049382716049;0,836696840548778;78,1292620468527;"2";3280,62934961435;2044,8699430304;53;94;38;20
"222";428,066666666667;13,2;0,219753957275922;20,8327589583777;"3";3216,80048494484;2031,22286928883;23;2;16;25
"223";500,268115942029;1,61764705882353;0,760139015202767;23,5460653912675;"2";3216,73848418929;2087,92587178523;61;6;20;0
"224";433,291666666667;6,08333333333333;0,158877915906688;30,2027499434432;"3";3221,77733711616;2046,06483218375;18;0;38;14
"225";477,960224674072;6,55779696493982;0,276134896575615;99,1506205365944;"2";3242,82537348732;2103,69190835078;131;2;180;122
"226";446,619018817204;9,31446039340776;0,380374042403379;47,3241252889078;"3";3238,65149068239;2026,39393568373;150;4;41;62
"227";416,625;29,4702032485627;0,272985678728256;6,06451581780266;"3";3199,0708812073;2038,42550992909;24;0;12;10
"228";438,902046783626;8,0982905982906;0,696568421360046;24,745450861606;"2";3246,98399437213;2079,95389060114;57;2;24;32
"229";578,871428571429;5,36;0,691513175546987;29,0861788753371;"2";3306,32618887356;2038,6967069561;62;145;21;25
"230";493,3;3,2;0,081051840541962;19,3108203552255;"2";3239,94560501151;2113,92576513427;0;0;18;7
"231";462,733333333333;2,7;0,523522164175908;10,9171991941312;"2";3245,15658005441;2056,2758902646;39;7;12;3
